时间,一次网供水温度(℃),一次网供水压力(Mpa),一次网回水温度(℃),一次网回水压力(Mpa),东区二次网供水温度(℃),东区二次网供水压力(Mpa),东区二次网回水温度(℃),东区二次网回水压力(Mpa),西区二次网供水温度(℃),西区二次网供水压力(Mpa),西区二次网回水温度(℃),西区二次网回水压力(Mpa),南区二次网供水温度(℃),南区二次网供水压力(Mpa),南区二次网回水温度(℃),南区二次网回水压力(Mpa),北区二次网供水温度(℃),北区二次网供水压力(Mpa),北区二次网回水温度(℃),北区二次网回水压力(Mpa),高区二次网供水温度(℃),高区二次网供水压力(Mpa),高区二次网回水温度(℃),高区二次网回水压力(Mpa),室外温度实际值,气温2m(℃),降水量(mm),降雪量(mm),地表温度(℃),露点温度(℃),相对湿度(%),最大阵风(上一小时内，m/s),"总太阳辐射度(down,J/m2)"
2024年11月01日00时15分00秒,66.24 ,0.68 ,32.39 ,0.20 ,32.85 ,0.62 ,29.21 ,0.46 ,32.63 ,0.51 ,29.94 ,0.38 ,37.81 ,0.41 ,33.54 ,0.30 ,37.67 ,0.52 ,33.21 ,0.35 ,32.63 ,0.70 ,30.13 ,0.62 ,,6.24,0.001,0,4.18,6.02,98.47,3.08,0
2024年11月01日00时30分00秒,66.46 ,0.68 ,32.38 ,0.20 ,32.87 ,0.63 ,29.22 ,0.47 ,33.26 ,0.50 ,30.01 ,0.37 ,37.84 ,0.40 ,33.56 ,0.30 ,37.79 ,0.52 ,33.34 ,0.35 ,32.68 ,0.71 ,30.16 ,0.63 ,,6.24,0.001,0,4.18,6.02,98.47,3.08,0
2024年11月01日00时45分00秒,66.80 ,0.71 ,32.15 ,0.20 ,33.06 ,0.64 ,29.27 ,0.48 ,33.33 ,0.50 ,30.08 ,0.37 ,38.07 ,0.40 ,33.62 ,0.29 ,35.63 ,0.53 ,33.45 ,0.36 ,32.48 ,0.72 ,30.22 ,0.64 ,,6.24,0.001,0,4.18,6.02,98.47,3.08,0
2024年11月01日01时00分00秒,66.30 ,0.40 ,31.90 ,0.19 ,31.29 ,0.64 ,29.32 ,0.49 ,31.68 ,0.51 ,30.17 ,0.37 ,36.85 ,0.40 ,33.67 ,0.29 ,36.02 ,0.53 ,33.27 ,0.36 ,31.48 ,0.71 ,30.25 ,0.63 ,,6.04,0.002,0,4.99,5.79,98.28,3.41,0
2024年11月01日01时15分00秒,65.37 ,0.40 ,31.95 ,0.19 ,31.49 ,0.61 ,29.30 ,0.46 ,31.73 ,0.51 ,30.10 ,0.37 ,36.77 ,0.40 ,33.68 ,0.29 ,35.86 ,0.53 ,33.19 ,0.36 ,32.11 ,0.69 ,30.28 ,0.60 ,,6.04,0.002,0,4.99,5.79,98.28,3.41,0
2024年11月01日01时30分00秒,65.21 ,0.52 ,32.03 ,0.20 ,32.04 ,0.62 ,29.13 ,0.47 ,32.03 ,0.51 ,29.80 ,0.37 ,37.08 ,0.39 ,33.52 ,0.28 ,36.34 ,0.53 ,33.01 ,0.36 ,32.50 ,0.70 ,30.14 ,0.62 ,,6.04,0.002,0,4.99,5.79,98.28,3.41,0
2024年11月01日01时45分00秒,64.65 ,0.53 ,32.02 ,0.20 ,32.04 ,0.63 ,28.92 ,0.48 ,32.27 ,0.50 ,29.58 ,0.36 ,37.42 ,0.43 ,33.28 ,0.33 ,36.33 ,0.53 ,32.86 ,0.36 ,32.50 ,0.71 ,29.97 ,0.63 ,,6.04,0.002,0,4.99,5.79,98.28,3.41,0
2024年11月01日02时00分00秒,63.96 ,0.54 ,31.52 ,0.20 ,31.39 ,0.64 ,28.83 ,0.49 ,31.59 ,0.51 ,29.53 ,0.37 ,36.98 ,0.43 ,33.04 ,0.32 ,35.88 ,0.53 ,32.67 ,0.36 ,31.95 ,0.73 ,29.98 ,0.64 ,,6.45,0.011,0,5.33,6.09,97.51,3.75,0
2024年11月01日02时15分00秒,64.01 ,0.53 ,31.78 ,0.20 ,31.65 ,0.61 ,28.78 ,0.47 ,31.59 ,0.51 ,29.50 ,0.38 ,36.99 ,0.42 ,33.00 ,0.31 ,35.57 ,0.53 ,32.58 ,0.37 ,31.79 ,0.71 ,30.03 ,0.62 ,,6.45,0.011,0,5.33,6.09,97.51,3.75,0
2024年11月01日02时30分00秒,62.95 ,0.53 ,31.69 ,0.20 ,31.52 ,0.62 ,28.71 ,0.46 ,31.98 ,0.50 ,29.46 ,0.37 ,36.99 ,0.42 ,33.10 ,0.31 ,35.59 ,0.53 ,32.52 ,0.36 ,32.36 ,0.69 ,30.08 ,0.60 ,,6.45,0.011,0,5.33,6.09,97.51,3.75,0
