日期,一次网供水,一次网回水,东区二次网供水,东区二次网回水,西区二次网供水,西区二次网回水,南区二次网供水,南区二次网回水,北区二次网供水,北区二次网回水,高区二次网供水,高区二次网回水
2024年12月30日00时00分00秒,103.3875046,46.46601105,55.5321579,44.88670349,52.17441177,44.87067795,52.71915817,44.20233536,53.03044128,44.72190475,47.13664627,39.69558334
2024年12月30日00时30分00秒,104.133667,46.4728775,55.59395599,44.86610031,52.30945206,44.86381149,52.76951218,44.1451149,53.17464066,44.73106003,47.06568909,39.60402679
2024年12月30日01时00分00秒,104.4747086,46.44312286,55.76104355,44.90272522,52.34378433,44.92332458,52.79926682,44.11306763,53.17235184,44.74937057,47.15724564,39.56511688
2024年12月30日01时30分00秒,105.3879623,46.61936188,55.93728638,44.92332458,52.41703033,44.93247986,52.91371155,44.12451172,53.42412567,44.79514694,47.53948212,39.52391815
2024年12月30日02时00分00秒,104.3945999,46.46601105,55.74044418,44.99427795,52.52002716,45.0377655,52.87479782,44.16113663,53.3417244,44.83863449,47.19615555,39.53765106
2024年12月30日02时30分00秒,103.6255417,46.53238678,55.67406845,45.00572205,52.3643837,45.03089905,52.75349045,44.19089127,53.20668411,44.85007858,47.27626419,39.53765106
2024年12月30日03时00分00秒,104.2687149,46.51865387,55.79766464,44.93019104,52.26596451,44.96681213,52.82444382,44.11993408,53.32341385,44.81574631,47.3998642,39.45754242
2024年12月30日03时30分00秒,105.1590729,46.44312286,55.88922119,44.91416931,52.2156105,44.87754822,52.91600037,44.10620117,53.30281448,44.81574631,46.99473572,39.42778778
2024年12月30日04时00分00秒,104.1428223,46.61249542,55.742733,44.90730286,52.14923477,44.84092331,52.82444382,44.10391235,53.31883621,44.84550095,46.94438171,39.41634369
2024年12月30日04时30分00秒,102.3506546,46.39505768,55.41542816,44.89585876,51.78072739,44.75623703,52.55893707,44.1451149,53.01899719,44.78141403,46.9672699,39.43923187
2024年12月30日05时00分00秒,102.3323441,46.30578995,55.14076614,44.7402153,51.63653183,44.58457184,52.39871979,44.02151489,52.945755,44.68757248,46.53009796,39.28358841
2024年12月30日05时30分00秒,102.0050354,46.27832413,55.12016296,44.6166153,51.46257782,44.45410919,52.32318497,43.91394043,52.68711472,44.59601593,46.71549606,39.18059158
2024年12月30日06时00分00秒,102.4261856,46.16617203,55.11329651,44.53650665,51.46486664,44.35339737,52.31174088,43.85442734,52.74662399,44.52048492,46.67887497,39.12107849
2024年12月30日06时30分00秒,101.7441025,45.99450684,54.95079041,44.48157501,51.32066727,44.282444,52.13092422,43.77202988,52.65278244,44.4426651,46.65598679,39.06614685
2024年12月30日07时00分00秒,101.03685,45.82284164,54.74250412,44.42435455,51.04371643,44.19318008,52.01190186,43.73540878,52.48111725,44.36026382,46.11581421,38.97917175
2024年12月30日07时30分00秒,102.249939,45.76791,54.77912521,44.307621,51.19020462,44.0604248,52.09887695,43.63698959,52.49256134,44.27557755,46.59418488,38.81437302
2024年12月30日08时00分00秒,101.5815964,45.78850937,54.84092331,44.26871109,51.12840652,44.00091553,51.9546814,43.55916595,52.56809235,44.23437881,46.82993698,38.78232956
2024年12月30日08时30分00秒,101.4694443,96.56900787,90.49897003,44.11993408,59.29961014,43.86129379,87.2877121,43.18608475,89.24467468,43.87960815,78.78691101,38.68162155
2024年12月30日09时00分00秒,101.1215363,102.5314713,86.62393951,44.04669189,61.04829407,43.6255455,83.09681702,42.69855881,78.56259918,43.5774765,75.85488892,38.56259918
2024年12月30日09时30分00秒,101.2794724,49.24010086,52.76951218,39.90386963,47.66994858,38.10940552,50.36850357,41.361866,50.46463776,41.40764618,48.07507324,36.80247116
2024年12月30日10时00分00秒,102.2865677,40.33646011,50.15335464,38.638134,47.44564056,39.51018524,47.3151741,37.4753952,47.11833191,38.00411987,43.1197052,34.36713028
